image_path,image_name,detection_conf,plate_text,ocr_confidence,x_min,y_min,x_max,y_max,width,height
./input/Car_Number_Plate\20200222_165554.jpg,20200222_165554.jpg,0.9998209476470947,JIND MH 43 AN6429,0.6258328545078875,475,1640,950,1775,475,135
./input/Car_Number_Plate\20200222_165603.jpg,20200222_165603.jpg,0.9995690584182739,@tozAUTOWOBKS JH 12 EM 8473,0.7305354861269622,470,1375,975,1515,505,140
./input/Car_Number_Plate\20200222_165624.jpg,20200222_165624.jpg,0.9994121789932251,JD,0.36677932306035554,555,1500,1090,1635,535,135
./input/Car_Number_Plate\20200222_165640.jpg,20200222_165640.jpg,0.9945076704025269,GJ Jh2653 05,0.837297082824946,420,2040,935,2140,515,100
./input/Car_Number_Plate\20200222_165652.jpg,20200222_165652.jpg,0.9987940788269043,MH 46 AL 6021,0.8307193172020679,400,1675,1005,1840,605,165
./input/Car_Number_Plate\20200222_165848.jpg,20200222_165848.jpg,0.9992297887802124,MH 43 86 3199,0.46929256948211234,1140,2865,1940,3065,800,200
./input/Car_Number_Plate\20200222_165906.jpg,20200222_165906.jpg,0.986446738243103,MH.43.X.3940,0.9741737335139187,760,3405,1675,3585,915,180
./input/Car_Number_Plate\20200222_165932.jpg,20200222_165932.jpg,0.9991210699081421,VD,0.47070398343657777,830,3565,1685,3800,855,235
./input/Car_Number_Plate\20200222_165948.jpg,20200222_165948.jpg,0.9987542033195496,MHZ3BE6244,0.6255202053607813,885,2890,1675,3090,790,200
./input/Car_Number_Plate\20200222_170025.jpg,20200222_170025.jpg,0.9994173049926758,MH.43.BE.5103,0.9144007258654397,525,1535,995,1650,470,115
./input/Car_Number_Plate\20200222_170100.jpg,20200222_170100.jpg,0.9938335418701172,IND 'HP50C2378,0.7089161483768993,455,1855,895,1965,440,110
./input/Car_Number_Plate\20200222_170125.jpg,20200222_170125.jpg,0.9706805348396301,MH503111,0.7332890925234528,480,1575,1010,1690,530,115
./input/Car_Number_Plate\20200222_170208.jpg,20200222_170208.jpg,0.9988210201263428,Không nhận diện,0.0,590,1895,1180,2100,590,205
./input/Car_Number_Plate\20200222_170233.jpg,20200222_170233.jpg,0.9995209574699402,MH 43 AT 7491 Gallarie Global,0.7958631752267575,455,1600,1010,1740,555,140
./input/Car_Number_Plate\20200222_172010.jpg,20200222_172010.jpg,0.9973448514938354,MHỎ5CM3013,0.6463247146025927,540,1465,1040,1595,500,130
./input/Car_Number_Plate\20200222_172019.jpg,20200222_172019.jpg,0.9995396733283997,Không nhận diện,0.0,485,1365,1130,1535,645,170
./input/Car_Number_Plate\20200222_172025.jpg,20200222_172025.jpg,0.9984772801399231,MH 46 W 9678,0.9861172071135378,385,1880,980,1985,595,105
./input/Car_Number_Plate\20200222_172030.jpg,20200222_172030.jpg,0.9795289635658264,IND KHZGBH1903,0.724111513839057,500,1560,1040,1710,540,150
./input/Car_Number_Plate\20200222_172039(1).jpg,20200222_172039(1).jpg,0.9997374415397644,MH 43 R 9362,0.9027450924854241,635,1495,1090,1630,455,135
./input/Car_Number_Plate\20200222_172039.jpg,20200222_172039.jpg,0.9997374415397644,MH 43 R 9362,0.9027450924854241,635,1495,1090,1630,455,135
./input/Car_Number_Plate\20200222_172047.jpg,20200222_172047.jpg,0.8363590240478516,MH02E22338,0.5639839694239946,550,1850,1065,1950,515,100
./input/Car_Number_Plate\20200222_172056.jpg,20200222_172056.jpg,0.9906184077262878,MH 47 INO 4761,0.7530304677765244,520,1890,1025,1995,505,105
./input/Car_Number_Plate\20200222_172106.jpg,20200222_172106.jpg,0.9796563982963562,46 AL 5532,0.8118088338057632,490,1490,1035,1600,545,110
./input/Car_Number_Plate\20200222_172118.jpg,20200222_172118.jpg,0.9997676014900208,MHOIDB 5157,0.6295830861469508,535,1350,1095,1495,560,145
./input/Car_Number_Plate\20200222_172142.jpg,20200222_172142.jpg,0.9989827871322632,MH43at7457,0.6100878593360735,520,1565,1000,1700,480,135
./input/Car_Number_Plate\20200222_172147.jpg,20200222_172147.jpg,0.9938430786132812,MH.05.CM.6645,0.9805941252542377,440,1490,980,1600,540,110
./input/Car_Number_Plate\20200222_173728.jpg,20200222_173728.jpg,0.9990141987800598,INo KH 46 H8313,0.45096536819734423,425,1590,900,1730,475,140
./input/Car_Number_Plate\20200222_173734.jpg,20200222_173734.jpg,0.9996615648269653,MH 43 AN 0630,0.9820560813319693,600,1545,1120,1675,520,130
./input/Car_Number_Plate\20200222_173803.jpg,20200222_173803.jpg,0.6253100037574768,"Mh *06 As ""752",0.5928748892334048,510,1405,1030,1510,520,105
./input/Car_Number_Plate\20200222_173808.jpg,20200222_173808.jpg,0.9992817044258118,MHZ3AN9329,0.7557160813896768,560,1845,1130,1965,570,120
./input/Car_Number_Plate\20200222_173813.jpg,20200222_173813.jpg,0.9958513379096985,HH 23 BN 5215,0.6328599229162317,590,1485,1135,1590,545,105
./input/Car_Number_Plate\20200222_173819.jpg,20200222_173819.jpg,0.9131200313568115,MH 43 AB2668,0.5326104297898284,605,1485,1130,1590,525,105
./input/Car_Number_Plate\20200222_173823.jpg,20200222_173823.jpg,0.6729446649551392,MH46 BA 7163,0.9543470138080994,590,1450,1075,1565,485,115
./input/Car_Number_Plate\20200222_173829.jpg,20200222_173829.jpg,0.9997314810752869,JD MHo6AF3269,0.8024613385504501,605,1345,1130,1490,525,145
./input/Car_Number_Plate\20200222_173835.jpg,20200222_173835.jpg,0.43055787682533264,MH 23 AN 2490,0.7404487920589732,565,1455,1130,1575,565,120
./input/Car_Number_Plate\20200222_173841.jpg,20200222_173841.jpg,0.9087633490562439,MH 43 BN 3502,0.835188988086403,565,1800,1130,1915,565,115
./input/Car_Number_Plate\20200222_174014.jpg,20200222_174014.jpg,0.9989230036735535,InD,0.429117742200203,555,1500,1065,1635,510,135
./input/Car_Number_Plate\20200222_174018.jpg,20200222_174018.jpg,0.9988245964050293,MH-01' AH' 6345,0.5365139710619607,455,1395,1015,1525,560,130
./input/Car_Number_Plate\20200222_174025.jpg,20200222_174025.jpg,0.9994065761566162,MH 46 2 5922 HALLMARK HOND,0.832531364173887,500,1460,1025,1600,525,140
./input/Car_Number_Plate\20200222_174032.jpg,20200222_174032.jpg,0.9997000098228455,MH 04 BY 1005,0.9305098108968834,490,1715,1030,1855,540,140
./input/Car_Number_Plate\20200222_174109.jpg,20200222_174109.jpg,0.9659263491630554,MH 46 A 0997,0.9977620205998865,435,1745,1055,1850,620,105
./input/Car_Number_Plate\20200222_174114.jpg,20200222_174114.jpg,0.9994820356369019,JH 06AL1I88,0.3991730212045074,465,1385,1010,1530,545,145
./input/Car_Number_Plate\20200222_174119.jpg,20200222_174119.jpg,0.9920864105224609,MH.03.AR.9181,0.6061219711570972,445,1435,965,1565,520,130
./input/Car_Number_Plate\20200222_174125.jpg,20200222_174125.jpg,0.9998606443405151,JHH 43 BU 7200,0.3774618057701681,475,1370,1050,1530,575,160
./input/Car_Number_Plate\20200222_174133.jpg,20200222_174133.jpg,0.9999594688415527,IND MHOsCY7727,0.6751706897545849,545,1405,1120,1560,575,155
./input/Car_Number_Plate\20200222_174143.jpg,20200222_174143.jpg,0.9978340268135071,MH 43 AR 3892,0.8737641871750832,505,1825,1105,1955,600,130
./input/Car_Number_Plate\20200222_174148.jpg,20200222_174148.jpg,0.9905445575714111,IND KA 47M7459,0.6345619526908701,550,1605,1015,1715,465,110
./input/Car_Number_Plate\20200222_174159.jpg,20200222_174159.jpg,0.9984306693077087,GJ.16AP7952,0.868901472531671,485,1310,1005,1440,520,130
./input/Car_Number_Plate\20200222_174219.jpg,20200222_174219.jpg,0.9998658895492554,MH *43 AT 6189 HALLMARk HONDA PH 7] 255000,0.5003511982596093,485,1375,940,1500,455,125
./input/Car_Number_Plate\20200222_205128.jpg,20200222_205128.jpg,0.9888532161712646,Mh 43 AB 5286,0.37923756926434266,945,2805,2085,3055,1140,250
./input/Car_Number_Plate\20200222_205330.jpg,20200222_205330.jpg,0.9994955062866211,MH 02 DJ 5495 9824244423,0.8522770079963067,1055,2010,1970,2205,915,195
./input/Car_Number_Plate\20200222_205340.jpg,20200222_205340.jpg,0.9978959560394287,JH 01 U 4263,0.9054331049948813,1385,2440,1850,2560,465,120
./input/Car_Number_Plate\20200222_205426.jpg,20200222_205426.jpg,0.9993734955787659,IND CHO 1AF0509,0.6980349671590719,1545,1505,2575,1770,1030,265
./input/Car_Number_Plate\20200222_205436.jpg,20200222_205436.jpg,0.9945874214172363,CH'04 E 7466,0.8071769884317621,1390,1570,2530,1800,1140,230
./input/Car_Number_Plate\21.jpg,21.jpg,0.4525793790817261,WWW.TEAM-BHPCOM,0.9946871626562852,470,455,730,485,260,30
./input/Car_Number_Plate\26.JPG,26.JPG,0.9998899698257446,IND DL12CJ7768,0.980509154066173,1535,1970,2375,2180,840,210
./input/Car_Number_Plate\6.jpg,6.jpg,0.9983395934104919,SRK 2019,0.998356555723137,705,520,905,580,200,60
./input/Car_Number_Plate\7 (1).jpg,7 (1).jpg,0.7516739368438721,KL54-A 2670,0.6430634043212322,245,340,385,370,140,30
./input/Car_Number_Plate\7.jpg,7.jpg,0.9990542531013489,HP 5157,0.8102731584669511,285,530,460,595,175,65
./input/Car_Number_Plate\8.jpg,8.jpg,0.9992665648460388,MH43AJ5887],0.6034433299772178,580,365,735,405,155,40
./input/Car_Number_Plate\ansh12.jpg,ansh12.jpg,0.7910926938056946,UP3? CI 8469,0.3161315931750664,200,240,370,285,170,45
./input/Car_Number_Plate\black-font-car-number-plate-500x500.jpg,black-font-car-number-plate-500x500.jpg,0.4710814654827118,ckh13479/56,0.38578517830507275,175,270,300,295,125,25
./input/Car_Number_Plate\car-glasses-500x500.jpg,car-glasses-500x500.jpg,0.9972876906394958,KH12E68397,0.7326189065950841,100,365,240,400,140,35
./input/Car_Number_Plate\honda-jazz-rear-left-rim.jpg,honda-jazz-rear-left-rim.jpg,0.8104649782180786,UP78 DZ 14651,0.7010734724216267,385,360,695,425,310,65
./input/Car_Number_Plate\hyundai-santro-xing-front-left-rim (1).jpg,hyundai-santro-xing-front-left-rim (1).jpg,0.9998756647109985,PB22K 9130,0.9870197687168363,400,480,680,560,280,80
./input/Car_Number_Plate\hyundai-santro-xing-front-left-rim.jpg,hyundai-santro-xing-front-left-rim.jpg,0.9987719655036926,TN-02-AB-2301,0.9913411455313856,365,545,665,630,300,85
./input/Car_Number_Plate\hyundai-santro-xing-rear-left-rim (1).jpg,hyundai-santro-xing-rear-left-rim (1).jpg,0.8844687938690186,KA 05 MD 5255,0.7682447102617709,470,645,645,735,175,90
./input/Car_Number_Plate\hyundai-santro-xing-rear-left-rim.jpg,hyundai-santro-xing-rear-left-rim.jpg,0.8844687938690186,KA 05 MD 5255,0.7682447102617709,470,645,645,735,175,90
./input/Car_Number_Plate\IMdhG_0351.JPG,IMdhG_0351.JPG,0.9981124401092529,MHO4 EX 5689,0.9120704671863189,445,680,1035,790,590,110
./input/Car_Number_Plate\IMG-20200222-WA0005.jpg,IMG-20200222-WA0005.jpg,0.9985029697418213,MH 06 AN 6297,0.9246666552484737,355,580,670,655,315,75
./input/Car_Number_Plate\IMG-20200222-WA0009.jpg,IMG-20200222-WA0009.jpg,0.9902254343032837,MH 43 AJ 6485,0.9782687985785843,310,805,680,870,370,65
./input/Car_Number_Plate\IMG-20200222-WA0010.jpg,IMG-20200222-WA0010.jpg,0.9997325539588928,MH. 43.AJ.0770,0.6199335152411224,255,445,505,495,250,50
./input/Car_Number_Plate\IMG-20200222-WA0011.jpg,IMG-20200222-WA0011.jpg,0.9967813491821289,Mh 0i Cd 5980,0.48410763857895933,340,630,665,685,325,55
./input/Car_Number_Plate\IMG-20200222-WA0012.jpg,IMG-20200222-WA0012.jpg,0.526738703250885,MA 43 AW   1293,0.4306644053243909,305,580,675,620,370,40
./input/Car_Number_Plate\IMG-20200222-WA0013.jpg,IMG-20200222-WA0013.jpg,0.9995858669281006,MH 43.V. 5781,0.7281520597047006,315,675,615,740,300,65
./input/Car_Number_Plate\IMG-20200222-WA0014(1).jpg,IMG-20200222-WA0014(1).jpg,0.9985345602035522,62 1484 BJ MH G,0.680849367039943,380,700,725,815,345,115
./input/Car_Number_Plate\IMG-20200222-WA0014.jpg,IMG-20200222-WA0014.jpg,0.8458710312843323,MHO1B68247,0.6574066335866409,320,645,660,685,340,40
./input/Car_Number_Plate\IMG-20200222-WA0015(1).jpg,IMG-20200222-WA0015(1).jpg,0.9711841344833374,Không nhận diện,0.0,270,955,645,1050,375,95
./input/Car_Number_Plate\IMG-20200222-WA0015(2).jpg,IMG-20200222-WA0015(2).jpg,0.9711841344833374,Không nhận diện,0.0,270,955,645,1050,375,95
./input/Car_Number_Plate\IMG-20200222-WA0015(3).jpg,IMG-20200222-WA0015(3).jpg,0.9994148015975952,MH.43.AJ.0770,0.7331253959295132,345,680,570,735,225,55
./input/Car_Number_Plate\IMG-20200222-WA0015.jpg,IMG-20200222-WA0015.jpg,0.9315254092216492,MH-12-MR-6333,0.6604788799145159,255,705,640,770,385,65
./input/Car_Number_Plate\IMG-20200222-WA0016.jpg,IMG-20200222-WA0016.jpg,0.9989038705825806,HH 43BN3019],0.3431484066421932,240,685,555,750,315,65
./input/Car_Number_Plate\IMG-20200222-WA0017.jpg,IMG-20200222-WA0017.jpg,0.8138625621795654,Không nhận diện,0.0,295,645,660,710,365,65
./input/Car_Number_Plate\IMG-20200222-WA0018(1).jpg,IMG-20200222-WA0018(1).jpg,0.9956662654876709,MH 43 AJ 3538 450024467,0.7139356203685208,325,955,755,1030,430,75
./input/Car_Number_Plate\IMG-20200222-WA0018.jpg,IMG-20200222-WA0018.jpg,0.9964458346366882,BROTATZ503,0.3791968287608384,315,785,535,845,220,60
./input/Car_Number_Plate\IMG-20200222-WA0019.jpg,IMG-20200222-WA0019.jpg,0.7269580960273743,'H.O4.AP.960,0.3736538523494751,360,820,565,860,205,40
./input/Car_Number_Plate\IMG-20200222-WA0020(1).jpg,IMG-20200222-WA0020(1).jpg,0.9992675185203552,MHO2E21392,0.5290870888571845,335,715,685,800,350,85
./input/Car_Number_Plate\IMG-20200222-WA0021.jpg,IMG-20200222-WA0021.jpg,0.9998066425323486,[MH 43 AWO463,0.5189864553204813,355,620,620,675,265,55
./input/Car_Number_Plate\IMG-20200222-WA0022.jpg,IMG-20200222-WA0022.jpg,0.9990726113319397,MHZ3BN8715,0.7330705999795866,360,525,565,575,205,50
./input/Car_Number_Plate\IMG-20200222-WA0023.jpg,IMG-20200222-WA0023.jpg,0.9996997117996216,IMHO 1BU7250,0.44430412402795244,420,605,620,645,200,40
./input/Car_Number_Plate\IMG-20200222-WA0024(1).jpg,IMG-20200222-WA0024(1).jpg,0.9323301315307617,MHOGEE2424|,0.4364832943427874,245,710,575,785,330,75
./input/Car_Number_Plate\IMG-20200222-WA0024.jpg,IMG-20200222-WA0024.jpg,0.8421179056167603,MH.43.BE.4984,0.8519126452204576,300,685,605,735,305,50
./input/Car_Number_Plate\IMG-20200222-WA0025(2).jpg,IMG-20200222-WA0025(2).jpg,0.9994148015975952,MH.43.AJ.0770,0.7331253959295132,345,680,570,735,225,55
./input/Car_Number_Plate\IMG-20200222-WA0025.jpg,IMG-20200222-WA0025.jpg,0.9978838562965393,MH43 AW9905,0.6735758088400832,315,695,560,750,245,55
./input/Car_Number_Plate\IMG-20200222-WA0026.jpg,IMG-20200222-WA0026.jpg,0.9993652701377869,MK 43 BN 1560,0.8299504770623187,315,795,640,875,325,80
./input/Car_Number_Plate\IMG-20200222-WA0027.jpg,IMG-20200222-WA0027.jpg,0.9869033694267273,MH14 DT.0378,0.431849342564257,485,555,785,630,300,75
./input/Car_Number_Plate\IMG-20200222-WA0029.jpg,IMG-20200222-WA0029.jpg,0.9978747963905334,'HHZ3BN7OZ8,0.6147029195984001,410,590,600,630,190,40
./input/Car_Number_Plate\IMG-20200222-WA0032.jpg,IMG-20200222-WA0032.jpg,0.9974596500396729,MH.43.L.2454,0.7357476084161103,315,720,645,780,330,60
./input/Car_Number_Plate\IMG-20200222-WA0033.jpg,IMG-20200222-WA0033.jpg,0.9489496350288391,MH43 AT 1471,0.9711158258739447,345,540,615,590,270,50
./input/Car_Number_Plate\IMG-20200222-WA0035.jpg,IMG-20200222-WA0035.jpg,0.9997122883796692,MHO1DK6198,0.64917935233916,355,620,545,665,190,45
./input/Car_Number_Plate\IMG-20200222-WA0036.jpg,IMG-20200222-WA0036.jpg,0.9989303946495056,MH 43AJ.6563 RRUTOMOTIVE,0.7222770548470816,315,700,635,770,320,70
./input/Car_Number_Plate\IMG-20200222-WA0038.jpg,IMG-20200222-WA0038.jpg,0.9997540712356567,Không nhận diện,0.0,285,685,635,770,350,85
./input/Car_Number_Plate\IMG-20200222-WA0039.jpg,IMG-20200222-WA0039.jpg,0.9994528293609619,IND MHZ3BN7506],0.7511053555107301,230,735,540,805,310,70
./input/Car_Number_Plate\IMG-20200222-WA0040.jpg,IMG-20200222-WA0040.jpg,0.9941404461860657,IND,0.9656984846059626,515,630,810,690,295,60
./input/Car_Number_Plate\IMG-20200222-WA0042.jpg,IMG-20200222-WA0042.jpg,0.9988182783126831,Không nhận diện,0.0,610,525,790,565,180,40
./input/Car_Number_Plate\IMG-20200222-WA0044.jpg,IMG-20200222-WA0044.jpg,0.9978530406951904,Ind Mh03AR2833,0.418922130896835,260,650,545,700,285,50
./input/Car_Number_Plate\IMG-20200222-WA0047.jpg,IMG-20200222-WA0047.jpg,0.9969428777694702,MK 43 AB 2121,0.6307717661512049,310,715,635,790,325,75
./input/Car_Number_Plate\IMG-20200222-WA0048.jpg,IMG-20200222-WA0048.jpg,0.8421305418014526,Mk 02 [W 7591,0.4175878553978603,290,830,675,905,385,75
./input/Car_Number_Plate\IMG-20200222-WA0049.jpg,IMG-20200222-WA0049.jpg,0.9344332814216614,Không nhận diện,0.0,495,600,805,675,310,75
./input/Car_Number_Plate\IMG-20200222-WA0050.jpg,IMG-20200222-WA0050.jpg,0.6435576677322388,Không nhận diện,0.0,370,705,645,760,275,55
./input/Car_Number_Plate\IMG-20200222-WA0051.jpg,IMG-20200222-WA0051.jpg,0.9989408254623413,MH 43v2770,0.8037643640606251,565,510,855,565,290,55
./input/Car_Number_Plate\IMG-20200222-WA0052.jpg,IMG-20200222-WA0052.jpg,0.9997788667678833,MH  01 BG  5069,0.4372531449999398,500,650,760,715,260,65
./input/Car_Number_Plate\IMG-20200222-WA0053.jpg,IMG-20200222-WA0053.jpg,0.9979764819145203,KH 43 Aw 2677,0.3739277173169646,335,555,595,610,260,55
./input/Car_Number_Plate\IMG-20200222-WA0055.jpg,IMG-20200222-WA0055.jpg,0.9944526553153992,MH.48.A.9882,0.8140823899318608,275,700,625,755,350,55
./input/Car_Number_Plate\IMG-20200222-WA0057.jpg,IMG-20200222-WA0057.jpg,0.9989937543869019,MH.02.BY.8389,0.7805745391518878,230,700,560,775,330,75
./input/Car_Number_Plate\IMG-20200222-WA0058.jpg,IMG-20200222-WA0058.jpg,0.9787117838859558,MH 46AD 0385,0.5997523684914468,360,580,535,625,175,45
./input/Car_Number_Plate\IMG-20200222-WA0059.jpg,IMG-20200222-WA0059.jpg,0.9974817037582397,"IH.06.AK,5780",0.5010557617834585,495,550,755,600,260,50
./input/Car_Number_Plate\IMG-20200222-WA0061.jpg,IMG-20200222-WA0061.jpg,0.9616914987564087,IND,0.9021694049858827,260,675,600,750,340,75
./input/Car_Number_Plate\IMG20200222153312.jpg,IMG20200222153312.jpg,0.9388558268547058,MHOZEH VIRARIW) 4740 GIRIRAJ MOTORB,0.6856581631583947,1055,2070,2375,2335,1320,265
./input/Car_Number_Plate\IMG20200222153317.jpg,IMG20200222153317.jpg,0.9925706386566162,MHOZEH 4740 GIRIRAJ MOTORS VIRARMW),0.7535222366689558,1045,2015,2235,2270,1190,255
./input/Car_Number_Plate\IMG20200222153433.jpg,IMG20200222153433.jpg,0.9998356103897095,MH.02.CV 2026,0.9490591593738196,740,1845,1840,2190,1100,345
./input/Car_Number_Plate\IMG20200222153552.jpg,IMG20200222153552.jpg,0.9898501038551331,MH 14 FC 5289,0.8563583486461313,1085,1590,1905,1745,820,155
./input/Car_Number_Plate\IMG20200222153603.jpg,IMG20200222153603.jpg,0.9998081922531128,IND DLIC P 0365,0.7999745115618445,1125,1450,2010,1660,885,210
./input/Car_Number_Plate\IMG20200222153719.jpg,IMG20200222153719.jpg,0.9827098846435547,IH 02 EU 504,0.9037090438430931,1275,2200,1870,2345,595,145
./input/Car_Number_Plate\IMG20200222153823.jpg,IMG20200222153823.jpg,0.9990472197532654,DLio CE 7066,0.7234083012778214,1230,1460,1885,1615,655,155
./input/Car_Number_Plate\IMG20200222153829.jpg,IMG20200222153829.jpg,0.999862790107727,AP29 BC 6050,0.9069777425517032,1365,1605,2055,1790,690,185
./input/Car_Number_Plate\IMG20200222153850.jpg,IMG20200222153850.jpg,0.9998494386672974,VD MH 47 V 9628,0.8024548249508833,1190,2385,2015,2585,825,200
./input/Car_Number_Plate\IMG20200222154031.jpg,IMG20200222154031.jpg,0.9995337128639221,MH 43 X 7268,0.9451031209489105,975,1830,1955,2015,980,185
./input/Car_Number_Plate\IMG20200222154322.jpg,IMG20200222154322.jpg,0.9998757839202881,MH 47 W 6493 Solitaire Honda 67385555,0.8346289823210067,1165,2015,2040,2220,875,205
./input/Car_Number_Plate\IMG20200222154339.jpg,IMG20200222154339.jpg,0.9996430277824402,HR 26 CV 3551,0.8163782018026756,1050,2300,1840,2480,790,180
./input/Car_Number_Plate\IMG20200222154400.jpg,IMG20200222154400.jpg,0.9998958110809326,HHO2EZ00/1,0.6797880745196669,960,2200,1955,2440,995,240
